name,additional_,Product code
rockrobo.vacuum.v1,Mi Robot Vacuum,(SDJQR01RR/SKV4000CN) (China) / (SDJQR02RR/SKV4022GL) (Global)
roborock.vacuum.s5,Roborock S5/S50/S51/S55,
roborock.vacuum.m1s,Mi Robot Vacuum 1S,(SDJQR03RR/SKV4054CN) (China)
viomi.vacuum.v7,(Ch) Mi Robot Vacuum-Mop P / Mijia LDS / Viomi V2 / Viomi V2 Pro,STYTJ02YM / SKV4080CN / SKV4084CN
viomi.vacuum.v8,(Global) Mi Robot Vacuum-Mop P / Mijia LDS / Viomi V2 / Viomi V2 Pro,STYJ02YM / SKV4109GL / SKV4110GL/ V-RVCLM21A / V-RVCLM21B
viomi.vacuum.v9,Mi Robot Vacuum-Mop P / Mijia LDS / Viomi V2 / Viomi V2 Pro,
